SECRETARÍA;CÓDIGO DEPARTAMENTO;DEPARTAMENTO;CÓDIGO MUNICIPIO;MUNICIPIO;CÓDIGO INSTITUCIÓN;NOMBRE INSTITUCIÓN;CÓDIGO SEDE;NOMBRE SEDE;ZONA;DIRECCIÓN;TELÉFONO;ESTADO SEDE;NIVELES OFRECIDOS;MODELOS OFRECIDOS;GRADOS OFRECIDOS;latitud;longitud;Elevacion;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000098;ESCUELA RURAL  EL VERGEL;RURAL;VDA SAN LUIS;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;4.238968;-74.42317;1684.9;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000284;ESCUELA RURAL VERSALLES;RURAL;VDASANTA ROSA ALTA SECTOR VERSALLES;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5,6,7;4.238968;-74.42317;1684.9;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000411;ESCUELA RURAL EL CUARTEL;RURAL;VDA HATO VIEJO SECTOR EL CUARTEL;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;4.249005;-74.45769;1194.5;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000233;ESCUELA RURAL DE SAN MIGUEL;RURAL;VDA SAN MIGUEL;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5,6;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000276;ESCUELA  RURAL TISCINCE;RURAL;VDA SAN PATRICIO SECTOR TISCINCE;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000225;ESCUELA RURAL DE SAN LUIS;RURAL;VDA SAN LUIS ARBELAEZ;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5,6;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000209;ESCUELA RURAL SABANETA;RURAL;VDA SAN PATRICIO SECTOR SABANETA;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA,PRIMERA INFANCIA;EDUCACIÓN TRADICIONAL;-3,0,1,2,3,4,5;4.242313;-74.44085;1424.2;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000021;ESCUELA RURAL EL TRIUNFO;RURAL;VDA   HATO VIEJO;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000268;ESCUELA RURAL  SANTA ROSA;RURAL;VEREDA SANTA ROSA;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000136;ESCUELA RURAL  LA LAJITA;RURAL;VDA SAN ANTONIO SECTOR LA LAJITA;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;4.265178;-74.40941;1455.6;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000128;ESCUELA RURAL  DE LA HONDA;RURAL;VDA SAN LUIS SECTOR LA HONDA;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000144;ESCUELA RURAL  LA MESA;RURAL;VDA SAN JOSE SECTOR LA MESA;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;-1,0,1,2,3,4,5;4.269083;-74.44226;1215.1;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;425053000402;COLEGIO  KIRPALAMAR;RURAL;K 2 VIA SAN BERNARDO;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA,MEDIA VOCACIONAL;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5,6,7,8,9,10,11;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000402;INSTITUCION EDUCATIVA DEPARTAMENTAL KIRPALAMAR;225053000217;ESCUELA RURAL  EL SAMANO;RURAL;VDA SAN ROQUE SECTOR EL SAMANO;3112325581;LEGALIZADO;PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5,7;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;425053000453;GIMNASIO CAMPESTRE LOS CHANITOS                                       ;625053000005;GIM CAMP LOS CHANITOS                                       ;URBANA;VDA SANTA BERBARA KM 1 VIA FUSAGASUGA;8686412;POR APROBAR;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;-2,-1,0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;125053000018;INSTITUCION EDUCATIVA DEPARTAMENTAL JOHN F. KENNEDY;125053000379;JARDIN INFANTIL DEPARTAMENTAL DE ARBELAEZ;URBANA;CARRERA 4 NO.1 90 ALTO DE LA CRUZ;8686428;LEGALIZADO;PREESCOLAR;EDUCACIÓN TRADICIONAL;0;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;125053000018;INSTITUCION EDUCATIVA DEPARTAMENTAL JOHN F. KENNEDY;125053000042;ESCUELA URBANA ANTONIO NARIÑO;URBANA;CALLE 5 NO. 2 20;8686428;LEGALIZADO;BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25053;ARBELÁEZ;325053000441;GIMNASIO CRISTIANO CORA                                         ;325053000441;GIMN CRISTIANO CORA                                         ;RURAL;BARRIO SAN JOAQUIN  ARBELAEZ;8686054;LEGALIZADO;PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5,6,7,8,9;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000464;ESC. RURAL ALTO ARIARI 2;URBANA;ALTO ARIARI;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000596;ESCUELA SANTA MARIA;RURAL;VEREDA STA MARIA;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;3.948997;-74.45703;2538.4;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;125120000036;CONC URB PANAMERICANA;URBANA;KM 1 VÍA SAN JUAN;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
